scenario,building_type,floor,H_ute_mSv,PF_stubbloft,PF_rehabilitert,H_inne_stubbloft_mSv,H_inne_rehabilitert_mSv,doseavvik_mSv,relativ_økning,avverget_dose_stubbloft_mSv,avverget_dose_rehabilitert_mSv
Kjellervindu 40x60 cm,Murbygg,Kjeller,5,39.9006,14.2062,0.125311,0.35196,0.226649,2.80869,4.87469,4.64804
Kjellervindu 40x60 cm,Murbygg,Kjeller,20,39.9006,14.2062,0.501245,1.40784,0.906595,2.80869,19.4988,18.5922
Kjellervindu 40x60 cm,Murbygg,Kjeller,50,39.9006,14.2062,1.25311,3.5196,2.26649,2.80869,48.7469,46.4804
Kjellervindu 40x60 cm,Murbygg,Kjeller,100,39.9006,14.2062,2.50623,7.0392,4.53298,2.80869,97.4938,92.9608
Kjellervindu 40x60 cm,Murbygg,1. etasje,5,10.0822,6.0833,0.495925,0.821926,0.326001,1.65736,4.50407,4.17807
Kjellervindu 40x60 cm,Murbygg,1. etasje,20,10.0822,6.0833,1.9837,3.28771,1.30401,1.65736,18.0163,16.7123
Kjellervindu 40x60 cm,Murbygg,1. etasje,50,10.0822,6.0833,4.95925,8.21926,3.26001,1.65736,45.0407,41.7807
Kjellervindu 40x60 cm,Murbygg,1. etasje,100,10.0822,6.0833,9.9185,16.4385,6.52003,1.65736,90.0815,83.5615
Kjellervindu 40x60 cm,Murbygg,2. etasje,5,37.8016,8.4058,0.13227,0.594824,0.462554,4.49706,4.86773,4.40518
Kjellervindu 40x60 cm,Murbygg,2. etasje,20,37.8016,8.4058,0.529078,2.3793,1.85022,4.49706,19.4709,17.6207
Kjellervindu 40x60 cm,Murbygg,2. etasje,50,37.8016,8.4058,1.3227,5.94824,4.62554,4.49706,48.6773,44.0518
Kjellervindu 40x60 cm,Murbygg,2. etasje,100,37.8016,8.4058,2.64539,11.8965,9.25109,4.49706,97.3546,88.1035
Kjellervindu 40x60 cm,Murbygg,3. etasje,5,56.0994,7.5805,0.0891275,0.65959,0.570462,7.40051,4.91087,4.34041
Kjellervindu 40x60 cm,Murbygg,3. etasje,20,56.0994,7.5805,0.35651,2.63836,2.28185,7.40051,19.6435,17.3616
Kjellervindu 40x60 cm,Murbygg,3. etasje,50,56.0994,7.5805,0.891275,6.5959,5.70462,7.40051,49.1087,43.4041
Kjellervindu 40x60 cm,Murbygg,3. etasje,100,56.0994,7.5805,1.78255,13.1918,11.4092,7.40051,98.2174,86.8082
Kjellervindu 40x60 cm,Murbygg,4. etasje,5,18.1835,5.0607,0.274974,0.987997,0.713023,3.59306,4.72503,4.012
Kjellervindu 40x60 cm,Murbygg,4. etasje,20,18.1835,5.0607,1.0999,3.95199,2.85209,3.59306,18.9001,16.048
Kjellervindu 40x60 cm,Murbygg,4. etasje,50,18.1835,5.0607,2.74974,9.87997,7.13023,3.59306,47.2503,40.12
Kjellervindu 40x60 cm,Murbygg,4. etasje,100,18.1835,5.0607,5.49948,19.7599,14.2605,3.59306,94.5005,80.2401
Kjellervindu 40x60 cm,Murbygg,5. etasje,5,2.6356,2.5842,1.89712,1.93484,0.037721,1.01988,3.10288,3.06516
Kjellervindu 40x60 cm,Murbygg,5. etasje,20,2.6356,2.5842,7.58846,7.73935,0.150884,1.01988,12.4115,12.2607
Kjellervindu 40x60 cm,Murbygg,5. etasje,50,2.6356,2.5842,18.9712,19.3484,0.37721,1.01988,31.0288,30.6516
Kjellervindu 40x60 cm,Murbygg,5. etasje,100,2.6356,2.5842,37.9423,38.6967,0.75442,1.01988,62.0577,61.3033
Kjellervindu 40x60 cm,Trebygg,Kjeller,5,39.7716,14.1898,0.125718,0.352367,0.226649,2.80284,4.87428,4.64763
Kjellervindu 40x60 cm,Trebygg,Kjeller,20,39.7716,14.1898,0.502871,1.40947,0.906595,2.80284,19.4971,18.5905
Kjellervindu 40x60 cm,Trebygg,Kjeller,50,39.7716,14.1898,1.25718,3.52367,2.26649,2.80284,48.7428,46.4763
Kjellervindu 40x60 cm,Trebygg,Kjeller,100,39.7716,14.1898,2.51435,7.04733,4.53298,2.80284,97.4856,92.9527
Kjellervindu 40x60 cm,Trebygg,1. etasje,5,4.3254,3.3739,1.15595,1.48195,0.326001,1.28202,3.84405,3.51805
Kjellervindu 40x60 cm,Trebygg,1. etasje,20,4.3254,3.3739,4.62381,5.92781,1.30401,1.28202,15.3762,14.0722
Kjellervindu 40x60 cm,Trebygg,1. etasje,50,4.3254,3.3739,11.5595,14.8195,3.26001,1.28202,38.4405,35.1805
Kjellervindu 40x60 cm,Trebygg,1. etasje,100,4.3254,3.3739,23.119,29.6391,6.52003,1.28202,76.881,70.3609
Kjellervindu 40x60 cm,Trebygg,2. etasje,5,11.076,4.6434,0.451427,1.0768,0.625376,2.38533,4.54857,3.9232
Kjellervindu 40x60 cm,Trebygg,2. etasje,20,11.076,4.6434,1.80571,4.30721,2.5015,2.38533,18.1943,15.6928
Kjellervindu 40x60 cm,Trebygg,2. etasje,50,11.076,4.6434,4.51427,10.768,6.25376,2.38533,45.4857,39.232
Kjellervindu 40x60 cm,Trebygg,2. etasje,100,11.076,4.6434,9.02854,21.5361,12.5075,2.38533,90.9715,78.4639
Kjellervindu 40x60 cm,Trebygg,3. etasje,5,19.5406,4.8424,0.255877,1.03255,0.776677,4.03535,4.74412,3.96745
Kjellervindu 40x60 cm,Trebygg,3. etasje,20,19.5406,4.8424,1.02351,4.13022,3.10671,4.03535,18.9765,15.8698
Kjellervindu 40x60 cm,Trebygg,3. etasje,50,19.5406,4.8424,2.55877,10.3255,7.76677,4.03535,47.4412,39.6745
Kjellervindu 40x60 cm,Trebygg,3. etasje,100,19.5406,4.8424,5.11755,20.6511,15.5335,4.03535,94.8825,79.3489
Kjellervindu 40x60 cm,Trebygg,4. etasje,5,14.2235,3.9298,0.351531,1.27234,0.920813,3.61944,4.64847,3.72766
Kjellervindu 40x60 cm,Trebygg,4. etasje,20,14.2235,3.9298,1.40612,5.08937,3.68325,3.61944,18.5939,14.9106
Kjellervindu 40x60 cm,Trebygg,4. etasje,50,14.2235,3.9298,3.51531,12.7234,9.20813,3.61944,46.4847,37.2766
Kjellervindu 40x60 cm,Trebygg,4. etasje,100,14.2235,3.9298,7.03061,25.4469,18.4163,3.61944,92.9694,74.5531
Kjellervindu 40x60 cm,Trebygg,5. etasje,5,2.5887,2.323,1.93144,2.15236,0.220924,1.11438,3.06856,2.84764
Kjellervindu 40x60 cm,Trebygg,5. etasje,20,2.5887,2.323,7.72577,8.60946,0.883694,1.11438,12.2742,11.3905
Kjellervindu 40x60 cm,Trebygg,5. etasje,50,2.5887,2.323,19.3144,21.5236,2.20924,1.11438,30.6856,28.4764
Kjellervindu 40x60 cm,Trebygg,5. etasje,100,2.5887,2.323,38.6288,43.0473,4.41847,1.11438,61.3712,56.9527
